title,pageid,wikitext
"Benzeye benzeye yaz, benzeye benzeye kış olur",230705,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[benzemek|Benzeye]] benzeye yaz, benzeye benzeye kış olur

:[1] Günler birbirinden çok farklı olmadığı halde hava yavaş yavaş ısınarak yaz, aynı biçimde yavaş yavaş soğuyarak kış gelir. Bu durum toplumun gelişmesinde ve gerilemesinde de görünür.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Berber berbere benzer ama, başın Allah'a emanet",230707,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
Berber berbere benzer ama, başın Allah'a emanet

:[1] Kendisini uzman gibi gösteren her kişiye güvenmemeli. Uzman diye işe başlar da malınızı,canınızı tehlikeye sokabilir.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Berberin solumazı, tellağin söylemezi, kahvecinin söylemezi",230706,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Berberin]] solumazı, tellağın terlemezi, kahvecinin söylemezi

:[1] Yüzü yüzünüze pek yakın olarak iş gören berber soluyorsa nefesi, ağız kokusu burnunuza girer. Tellak terliyorsa sizi keselerken terleri üzerinize damlar; ayrıca ter kokusundan rahatsız olursunuz. Müşterilerinin içyüzünü bilen kahveci birinin sırını ötekine söylerse sanatını kötüye kullanmış olur.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Berk kaçan atın boku seyrek düşer,230708,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Berk]] kaçan atın boku seyrek düşer

:[1] Olağanüstü hızla yapılan iş -gereken özen gösterilemeyeceğinden- olumlu sonuç vermez.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Besle kargayı, oysun gözünü",229740,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
# nankörlük eden, iyliğinini her zaman karşılıksız bırakanlar için söylenir."
Beslemeyi eslemeden alma,230709,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Beslemeyi]] eslemeden alma

:[1] Sürekli bir hizmet için evine kabul edeceğin kimseyi iyice sorup soruşturmadan alma.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Beş kuruşun üstünde oturmaya beş batman göt gerek,230696,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Beş]] kuruşun üstünde oturmaya beş batman göt gerek

:[1] Kişinin kazancından, az da olsa para artırması büyük azim ve irade ister.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Beş kuruşun varsa beş yere düğümle,230697,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Beş]] kuruşun varsa beş yere düğümle

:[1] Kişi savurgan değil tutumlu olmalı, parasını iyi korumalıdır.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Beş para giren ev yıkılmamış,230698,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Beş]] para giren ev yıkılmamış

:[1] Çalışıp para kazanmanın yoluna bakılmalıdır. Kazanç az da olsa ailenin yaşam düzenibozulmaz.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Beş parmağın hangisini kessen acımaz?,230699,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Beş]] parmağın hangisini kessen acımaz?

:[1] İnsan evlatlarını birbirinden ayırt etmez. Hangisine zarar gelse aynı üzüntüyü duyar.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Beş parmak bir olmaz,212060,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Beş]] [[parmak]] [[bir]] [[olmak|olmaz]]

:[1] ""İnsanlar arasında çeşitli yönlerden farklılıkların bulunması doğaldır."" anlamında bir söz."
Beş tavuğa bir horoz yeter,230700,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Beş]] tavuğa bir horoz yeter

:[1] Beş kadını yönetmek ve korumak için bir erkek yeter.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Beşe, bakma çiftten başka işe",230695,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Beşe]], bakma çiftten başka işe

:[1] Yediye'nin yelleri beşe'nin selleri sözünde de geçen beşe şubat sonlarıyla martı kapsayanzamandır.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Beterin beteri var,230710,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Beter]]in beteri var

:[1] Çok kötü bir duruma düşen kimse, bundan daha kötü bir durumun da bulunduğunu düşünerek avunmalıdır.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Bey ardından çomak çalan çok olur,230716,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bey]] ardından çomak çalan çok olur

:[1] Güçlü kişi ile yüz yüze bulundukları zaman ağızlarını açmayan kimseler, gittikten sonra kendisini çekiştirirler.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Bey aşı borç, düğün aşı ödünç",230715,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bey]] aşı borç, düğün aşı ödünç

:[1] Beyin sofrası çok zengin olur. O sofrada ağırlanan kimsenin, karşılık olarak beye yemekvermesi kolay olmadığından bu bir borç olarak kalır. Düğün aşı yiyen ise günün birindekendisinin yapacağı düğüne, birinci düğün sahibini çağırır, böylece ödüncün altından kalkmışolur.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Bey buyurur, cellat keser",230717,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bey]] buyurur, cellat keser

:[1] Egemen kişinin haksız buyruğunu yerine getiren, buyruk kulu olduğu için, suçsuzdur. Suçuişleyen, buyruğu verendir.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Bey oğlu kulluk, kul oğlu beylik",230718,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bey]] oğlu kulluk, kul oğlu beylik

:[1] Hiçbir kimse için süreli bir yaşam düzeyi yoktur. Yüksek düzey insanı düşkün durumagelebilir; düşkün durumda olan da yükselebilir; zenginleşebilir.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Beyazın adı tadı,230711,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Beyazın]] adı var, esmerin tadı var.

:[1] Beyaz tenli olanlar, güzel sayılır; ancak bu, aldatıcı bir görünüşten ileri gelir. Gerçek güzellik ve şirinlik esmerlerdedir.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Beyden gelen bey s ayılır,230712,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Beyden]] gelen bey sayılır

:[1] Hatırı sayılan kişinin sözlerini, isteklerini başkasına ileten buyruk kuluna, hatırlı kişinin kendisi gelmiş gibi saygı gösterilmesi gerekir.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Beyler buyruğu yoksula kan ağlatır,230713,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Beyler]] buyruğu yoksula kan ağlatır

:[1] Halkı yönetenler, uygulama olanağını düşünmeden buyruklar verirler. Halkı sıkıntıya sokar, ezerler.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Beylik çeşmeden su içme,230714,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Beylik]] çeşmeden su içme

:[1] Resmi işlere yanaşmak tehlikelidir. Hükümet, hatıra hayale gelmeyen bir noktadan size büyük sorumluluk çıkarır.
           Abartılarak denilebilir ki devletin kamuya hizmeti için yaptırdığı çeşmeden su bile içmeyiniz.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Bez alırsan Musul'dan, kız alırsan asilden",230719,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
Bez alırsan Musul'dan, kız alırsan asilden

:[1] Ne alacaksanız cinsini, aslını biliniz, güvenerek alınız: Musul bezinin sağlam, güzelolduğuna, soylu kızın terbiyesine, namusuna güvendiğiniz gibi.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Bezi herkesin arşınına göre vermezler,212039,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bez]]i [[herkes]]in [[arşın]]ına göre [[vermek|vermezler]]

:[1] ""Genel [[kural]]lar kişilerin isteklerine göre bozulamaz."" anlamında bir söz."
"Bıçağı kestiren kendi suyu, insanı sevdiren kendi huyu",230625,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bıçağı]] kestiren kendi suyu, insanı sevdiren kendi huyu

:[1] Bir kimsenin, bir şeyin değeri, kendisinde aranan özel nitelikte artar: Kişi, huyu güzel olursasevilir. Bıçak, çeliğine iyi su verilmiş olursa keskinleşme yeteneği kazanır.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Bıçak kınını kesmez,218626,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bıçak]] [[kın]]ını [[kesmek|kesmez]]

:[1] ""Kötüler yararlandıkları kimselere kötülük etmekten çekinirler"" anlamında bir söz."
"Bıçak yarası onulur, dil yarası onulmaz",218629,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}

:[1] Hakaret, ağır [[söz]] gibi gönül kırıcı davranışların hiçbir zaman unutulmaz"
Bıldırcının beyliği arpa biçilene kadar,230626,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bıldırcının]] beyliği arpa biçilene kadar

:[1] Bir kimsenin keyfi, ancak yararlandığı nesne yarar sağlamayacak duruma gelinceye değin sürer.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Bıyığın uzunsa borazan çal,230627,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bıyığın]] uzunsa borazan çal

:[1] Bir işi başarabilmek, gerekli koşulların bulunmasına bağlıdır.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Bilmemek ayıp değil, sormamak ayıp",230720,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bilmemek]] ayıp değil, sormamak ayıp

:[1] İnsan her şeyi bilemez. Bu, kusur değildir. Ancak bilmediği bir işi, sorup öğrenmeden yapmaya kalkışmak kusurdur. Çünkü yanlış ve zararlı bir yola sapılmış olabilir.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Bilmemek değil öğrenmemek ayıptır,295516,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
Bilmemek değil öğrenmemek [[ayıp]]tır

:[1] İnsanlar her şeyi bilemez bu kusur değildir fakat insanlar bir şeyler öğrenmeye çalışmazsa bu kusurdur"
"Bin atın varsa inişte in, bir atın varsa yokuşta bin",230722,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bin]] atın varsa inişte in, bir atın varsa yokuşta bin

:[1] Üzerinde yük bulunan at, yokuş aşağı ine İnsan ise inişi yorulmadan iner de yokuşa çıkarken yorulur."
Bin bilsen de bir bilene danış,230723,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bin]] bilsen de bir bilene danış

:[1] İnsan bir şeyi çok iyi bilirse bilsin kendisinden daha iyi bilen bulunur. Onun için, bir işe başlamadan o iş üzerindeki geniş bilgisi herkesçe kabul edilen kimsenin düşüncesi alınmalıdır.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Bin dost az, bir düşman çok",230724,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bin]] dost az, bir düşman çok

:[1] Ne kadar çok dostun olursa olsun bundan sana zarar gelmez. Ancak bir düşmanın bile olsa hep tehlike içinde yazarsın.
====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Bin işçi, bir başçı",230725,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bin]] işçi, bir başçı

:[1] Bir işin planını çizen, programını izleyen, düzenli olarak gerçekleşme yolunu gösteren birbaş bulunmadıkça, ne kadar çok işçi çalışırsa çalışsın, iş başarı ile yürütülemez.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Bin kişi değmez bir kişi, bir kişi değer bin kişi",230726,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bin]] kişi değmez bir kişi, bir kişi değer bin kişi

:[1] Toplum içinde bir değerli kişinin yaptığı işi yapamayan bin kişi de vardır; bin kişininbaşarabileceği işi tek başına yapabilen kişi de.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Bin merak, bir borç ödemez",230727,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bin]] merak, bir borç ödemez

:[1] Borcu ödemek için tasalanmanın faydası yoktur; ödeme yollarını aramak gerekir.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Bin ölç, bir biç.",313334,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}

:[1] Bir işi yapmadan önce veya bir şey söylemeden önce düşünüp, tartıp öyle hareket etmek"
Bin ölçüp bir biçmeli,230721,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bin]] ölçüp bir biçmeli

:[1] Yapılacak bir işin tüm yönleri önceden iyi düşünülmeli, sonuç iyi hesaplanmalı, daha sonra işe girişilmelidir. İyi düşünülmeden yapılan işten dolayı duyulacak pişmanlık, işi düzeltmeye yaramaz.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Bin tasa bir borç ödemez,230729,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bin]] tasa bir borç ödemez

:[1] Borç,üzülerek değil, ödeyerek biter,bunun için çalışmak gerekir.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Binin yarısı beş yüz o da ben de yok,42264,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[bin]]in [[yarı]]sı [[beş]] [[yüz]] [[o]] [[da]] [[ben]][[de]] [[yok]]

:[1] Düşünceli kimseleri [[avutmak]] için söylenir."
"Bir abam var atarım, nerde olsam yatarım",229221,"==Türkçe==

{{başlık başı|tr|atasözü}}
Bir [[aba]]m var atarım, nerde olsam yatarım

 Tek başına bulunan kimsenin istediği yerde barınıp rahat edebileceğini anlatır."
Bir adama kırk gün ne dersen o olur,230742,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] adama kırk gün ne dersen o olur

:[1] Sürekli telkinle bir kişinin bilinçaltına birtakım inançlar, duygular yerleştirilebilir.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Bir adamın adı çıkacağına canı çıksın,230740,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] kimsenin adı çıkacağına canı çıksın

:[1] Adı kötüye çıkan kişi, kötü olmasa bile, bu kamu yargısını kolay kolay düzeltemez. Nerede adı anılsa, hiçbir araştırma yapılmadan, hemen kötülüğü ortaya atılır. Bu durumdaki kimse ölmeyi yeğler mi yeğler.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Bir adamın sözü bir adama kolay,230741,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] adamın sözü bir adama kolay

:[1] Bir kişinin, hoşa gitmeyecek bir sözünü başkasına iletme görevini üstlenen, bu sözleri aktarırken kendisinin tarafsız olduğunu, sadece bir aracılık yaptığını bu anlatımla belirtir.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Bir ağacın gölgesinde bir sürü yatar,230739,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] ağacın gölgesinde bir sürü yatar

:[1] İyiliksever, bilgili, varlıklı kimselerden pek çok kişi yararlanır.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Bir ağaçta gül de biter, diken de",230738,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] [[ağaç]]ta [[gül]] de [[bitmek|biter]], [[diken]] de

:[1] Bir ocaktan iyi insan da yetişir, kötü insan da.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Bir ağaçtan okluk da çıkar, bokluk da",230737,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] ağaçtan okluk da çıkar, bokluk da

:[1] Aynı aileden iyi adam da çıkar, kötü adam da.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Bir ağızdan çıkan bin ağıza yayılır,230736,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] ağızdan çıkan bin ağza yayılır

:[1] Bir kişi, yayılmasını istemediği bir durumu kimseye söylememelidir. Söylerse, gizli kalmasını istediği şey, dilden dile dolaşarak toplum içine yayılır.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Bir ambar buğdayın örneği bir avuçtur,230743,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] ambar buğdayın örneği bir avuçtur

:[1] Bir bütünün küçük bir parçasını incelemek, tümü üzerinde yargıya varmaya yeter.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Bir avuç altının olacağına bir avuç toprağın olsun,230744,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] avuç altının olacağına bir avuç toprağın olsun

:[1] Altın, yani para, harcanan ve tükenen bir maldır. Ancak toprak, harcanıp tükenen bir mal değildir. Yerinde duran, sürekli olarak ürün veren ve para getiren bir maldır.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Bir baba dokuz evladı besler, dokuz evlat bir babayı beslemez",229237,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
Bir baba [[dokuz]] evladı besler, dokuz evlat bir babayı beslemez

:[1] Çok çocuğu olan [[baba]], her çocuk babasına bakılmasını ötekinden beklediği için sıkıntıda kalır."
"Bir baba dokuz oğlu besler, dokuz oğul bir babayı beslemez",230747,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] baba dokuz oğlu besler, dokuz oğul bir babayı beslemez

:[1] Baba, ne kadar çok çocuğu olursa olsun hepsini yetiştirmek için gereken bütün özveridebulunur. Ancak çocuklar para kazanmaya başladıktan sonra -birçok kardeş de olsalar- yoksuldüşen babaları için, kendi paylarına düşen küçük bir yardımı yapmazlar.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Bir baş soğan bir kazanı kokutur,230746,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] baş soğan bir kazanı kokutur

:[1] Kötü bir kişi, kötü bir davranış, kötü bir söz, büyük bir topluluğun havasını bozar.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Bir başa bir göz yeter,230745,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] başa bir göz yeter

:[1] Nimet ne kadar bol olsa o kadar hoşa gider; geri çevrilmez. Ama bunun hepsi zorunlugereksemeleri karşılayan şeyler değildir. Birçoğu fazladan denilebilecek şeylerdir. Bunun -gerçek gereksemeyi karşıladığı için- vazgeçilemeyecek bir miktarı vardır. Azla yetinmeyibilenler bu miktarı yeter görürler.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Bir çiçekle bahar olmaz,229260,"==Türkçe==
atasözü
 
{{başlık başı|tr|atasözü}}
# Küçük, güzel bir belirtiyle doyurucu sonuca ulaşılmaz."
Bir çiçekle yaz olmaz,230735,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] çiçekle yaz olmaz

:[1] Güzel, ama küçük bir belirti ile, beklenen doyurucu sonuca erişilmiş olmaz.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Bir çöplükte iki horoz ötmez,230734,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] çöplükte iki [[horoz]] ötmez

:[1] Bir toplumda iki lider olmaz. Olursa aralarında anlaşmazlık çıkar; biri ötekini uzaklaştırır.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Bir deli kuyuya bir taş atar, kırk akıllı çıkaramaz",229271,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
Bir deli [[kuyu]]ya bir [[taş]] atar, kırk akıllı çıkaramaz

:[1] Kimi vakit bir kimsenin yaptığı yersiz bir iş, birçok kimse tarafından düzeltilemez."
"Bir deli kuyuya taş atmış, kırk akıllı çıkaramamış",230749,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] deli kuyuya taş atmış, kırk akıllı çıkaramamış

:[1] Kimi zaman bir kişi öyle delice bir iş yapar ki birçok akıllı kimseler bir araya gelerek düşünür, çalışırlar da durumu düzeltemezler.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Bir dirhem et bin ayıp örter,229275,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
Bir [[dirhem]] [[et]] [[bin]] [[ayıp]] örter

:[1] Biraz kilo almak kimi zaman insanı güzelleştirir."
Bir dirhem gümüşün üstünde oturmaya bir kantar göt gerek,230750,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] dirhem gümüşün üstünde oturmaya bir kantar ahlak gerek

:[1] Tutumluluk, kazancın çok küçük bir parçasını bile artırabilmek, büyük bir istenç gerektirir.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Bir dönüm güzlük on dönüm yazlığa bedeldir,230748,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] dönüm güzlük on dönüm yazlığa bedeldir

:[1] Sonbaharda ekilen bir dönümlük yerden, yazın ekilen on dönümlük yerin ürünü kadar ürünalınır.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Bir el bir eli yıkar, iki el bir yüzü yıkar",229280,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
Bir el bir [[el]]i yıkar, iki el bir [[yüz]]ü yıkar
{{Anlamlar}}
:[1] Kimi durumlarda yardımlaşarak işlerin kolay kurtulacağını anlatır.[2](Doğru Olmaya Bilir 1. Anlamı Yazın)Yardımlaşma Bazı Durumlarda Gerekli Olabilir."
"Bir elin nesi var, iki elin sesi var",230752,"== Türkçe ==

===Atasözü===
{{tr-atasözü}}
# Çoğunlukla insanlar büyük işleri tek başına yapamaz. Başkasıyla [[iş birliği]] yapmalıdır ki önemli bir varlık gösterebilsin.

====Eş anlamlılar====
* {{l|tr|Az el aş kotarır, çok el iş kotarır}}
* {{l|tr|Yalnız taştan duvar olmaz}}

===Kaynakça===
* {{Aksoy, Ömer Asım-ADS-1995}}"
Bir elinin verdiğini öbür elin görmesin,230751,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] elinin verdiğini öbür elin görmesin

:[1] Bir yoksula, bir hayır işine yaptığınız yardımı, en yakınlarınız dahi bilmemelidir. Çünkü bu çeşit yardımlar dini, ya da sosyal bir ödevdir. Amaç kendini göstermek değil, bir yaraya merhem olmaktır. Herkes görsün, işitsin, kendisini övsün diye yapılan yardım, din ya da insanlık duygusu ile yapılmış iyilik olmaktan çıkar. Yani bundanda şunu anlıyoruz bir kişiye yardım etmek iyi birşeydir kimseye kötü davranmamalıyız
  
====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}} 
*Selena, Seher İnanç (1998). Atasözleri ve Deyimler Sözlüğü 2 Deyimler Sözlüğü. İstanbul: Sihirli Dünya Kitabevi"
"Bir ev donanır, bir kız donanmaz",230755,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] ev donanır, bir kız donanmaz

:[1] Bir kızı donatmak, bir ev düzmekten daha güç, daha masraflıdır. Evin eksikleri bellidir. Alırsınız, biter. Kızın ne giyim giderleri biter, ne de çeyiz için alınacak eşyası. Evlenecek kızın gözü eşyaya doymaz.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Bir evde düzen varsa düzen olmaz o evde,230753,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] evde düzenbaz varsa düzen olmaz o evde

:[1] Bir evde ya da bir yerde iki rakip kadın varsa orada dirlik olmaz.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Bir evde iki kız, biri çuvaldız biri biz",230754,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] evde iki kız, biri çuvaldız biri biz

:[1] Bir evde iki kız olursa her biri bir taraftan aileyi sıkıştırır: Giyim kuşam ister, çeyiz çemen ister. Onlar istemese bile aile kendini böyle bir sorumluluk altında bilir. Bunun sıkıntısını çeker.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Bir fincan kahvenin kırk yıl hatırı vardır,229302,"==Türkçe==
===Atasözü===
{{tr-atasözü}}
#İyilik küçük de olsa aklımızda kalır çünkü iyiliği yapan kişi iyilik yapılan kişiye giderse o kişi de elinden geleni yapar ve bunun karşılığında hep iyilik almaya devam eder.
#İyiliğin küçüğü büyüğü olmaz, iyilik iyiliktir
[Bu atasözü töre ve gelenekleri bildiren atasözleri grubuna girer]"
Bir fit bin büyü yerini tutar,230756,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] fit bin büyü yerini tutar

:[1] Bir kimseyi başkasına karşı kışkırtmak için ara bozacak bir söz, bin büyü kadar etkilidir.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Bir görüş, bir kör biliş",230757,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] görüş, bir kör biliş

:[1] Bir kez görmekle bir şey iyice anlaşılmaz, öğrenilmez.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Bir gözün gördüğü bir göze hayır etmez,230758,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] gözün gördüğü bir göze hayır etmez

:[1] Bir kişi bir nesneye göz koymuşsa, başka birinin o nesneyi elde etmesi kolay olmaz.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
"Bir günlük beylik, beyliktir",230760,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] günlük beylik, beyliktir

:[1] Çok kısa bir süre için de olsa, herkesten üstün bir yaşama olanağı bulmuş olmak güzel şeydir.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
Bir günlük ölüye üç gün yiyecek gerek,230759,"==Türkçe==
===Atasözü===
{{başlık başı|tr|atasözü}}
[[Bir]] günlük ölüye üç gün yiyecek gerek

:[1] Gelenek böyledir: Bir evde ölüm olursa o evde üç gün yemek yapılmaz. Komşular ve tanıdıklar yemek gönderirler.

====Kaynakça====
*{{Aksoy, Ömer Asım-ADS-1995}}"
